Combinaci칩n,Clasificador,N_Descriptores,N_Features,Accuracy,Precision,Recall,F1_Score,AUC_ROC
Solo HOG,Random Forest,1,100,0.52,0.5131578947368421,0.78,0.6190476190476191,0.6588
Solo HOG,SVM,1,100,0.53,0.5180722891566265,0.86,0.6466165413533834,0.65
Solo HOG,Logistic Regression,1,100,0.52,0.5125,0.82,0.6307692307692307,0.508
Solo LBP,Random Forest,1,26,0.55,0.5396825396825397,0.68,0.6017699115044248,0.5720000000000001
Solo LBP,SVM,1,26,0.58,0.58,0.58,0.58,0.5815999999999999
Solo LBP,Logistic Regression,1,26,0.55,0.5471698113207547,0.58,0.5631067961165048,0.5188
Solo GLCM,Random Forest,1,60,0.5,0.5,0.72,0.5901639344262295,0.5138
Solo GLCM,SVM,1,60,0.56,0.55,0.66,0.6,0.5848
Solo GLCM,Logistic Regression,1,60,0.49,0.49295774647887325,0.7,0.5785123966942148,0.424
Solo Gabor,Random Forest,1,60,0.6,0.5675675675675675,0.84,0.6774193548387096,0.6136
Solo Gabor,SVM,1,60,0.6,0.578125,0.74,0.6491228070175439,0.6095999999999999
Solo Gabor,Logistic Regression,1,60,0.59,0.5692307692307692,0.74,0.6434782608695652,0.5436
Forma (HOG + Hu + Contour),Random Forest,3,100,0.52,0.5131578947368421,0.78,0.6190476190476191,0.6588
Forma (HOG + Hu + Contour),SVM,3,100,0.53,0.5180722891566265,0.86,0.6466165413533834,0.65
Forma (HOG + Hu + Contour),Logistic Regression,3,100,0.52,0.5125,0.82,0.6307692307692307,0.508
Textura (LBP + GLCM + Gabor),Random Forest,3,100,0.59,0.5616438356164384,0.82,0.6666666666666666,0.6412000000000001
Textura (LBP + GLCM + Gabor),SVM,3,100,0.62,0.5882352941176471,0.8,0.6779661016949152,0.739
Textura (LBP + GLCM + Gabor),Logistic Regression,3,100,0.59,0.5652173913043478,0.78,0.6554621848739496,0.5995999999999999
Forma + Textura B치sica,Random Forest,3,100,0.52,0.5131578947368421,0.78,0.6190476190476191,0.6588
Forma + Textura B치sica,SVM,3,100,0.53,0.5180722891566265,0.86,0.6466165413533834,0.65
Forma + Textura B치sica,Logistic Regression,3,100,0.52,0.5125,0.82,0.6307692307692307,0.508
Textura Avanzada,Random Forest,4,100,0.56,0.5384615384615384,0.84,0.65625,0.5999999999999999
Textura Avanzada,SVM,4,100,0.6,0.5675675675675675,0.84,0.6774193548387096,0.7056
Textura Avanzada,Logistic Regression,4,100,0.57,0.5466666666666666,0.82,0.656,0.5644
Completo Sin HOG,Random Forest,6,100,0.59,0.5569620253164557,0.88,0.6821705426356589,0.6122000000000001
Completo Sin HOG,SVM,6,100,0.58,0.5540540540540541,0.82,0.6612903225806451,0.701
Completo Sin HOG,Logistic Regression,6,100,0.59,0.5616438356164384,0.82,0.6666666666666666,0.5636
Todos los Descriptores,Random Forest,7,100,0.56,0.5405405405405406,0.8,0.6451612903225806,0.6608
Todos los Descriptores,SVM,7,100,0.52,0.5121951219512195,0.84,0.6363636363636364,0.6252000000000001
Todos los Descriptores,Logistic Regression,7,100,0.54,0.5256410256410257,0.82,0.640625,0.48800000000000004
